name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,use0,use1,use2,use3,use4,Chemical Class,Therapeutic Class,Habit Forming
futop cream,Fsol Cream,Fusicare Cream,Ufisid Cream,Fucidin Cream,Fugina 2% Cream,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial skin infections, Bacterial eye infections,,,,Steroid esters,DERMA,No
fibator ls tablet,,,,,,Nausea,Stomach pain,Constipation,Flatulence,Headache,Muscle pain,Increased liver enzymes,Increased glucose level in blood,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of High cholesterol,Prevention of Heart attack,,,,,CARDIAC,No
femcinol-adp gel,Foracne Plus Gel,Alight Plus Gel 15gm for Acne Treatment,Nayzit Gel,Nioclean AD Gel,Acnesol A Nano Gel,Skin peeling,Erythema (skin redness),Itching,Dry skin,Burning sensation at the site of application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acne,,,,,,DERMA,No
febugood 40 tablet,Febzeal 40 Tablet,Febutax 40 Tablet,Febuday 40 Tablet,Furitas 40mg Tablet,Feboxa 40 Tablet,Diarrhea,Headache,Increased liver enzymes,Nausea,Skin rash,Gout flares,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,,,,,Thiazole Derivative,PAIN ANALGESICS,No
fine nerve soft gelatin capsule,,,,,,Dizziness,Sleepiness,Tiredness,Uncoordinated body movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Neuropathic pain,,,,,,NEURO CNS,No
fullform 400 rotacap,Bekform 400mcg/6mcg Rotacap,,,,,Headache,Pneumonia,Pharyngitis,Voice change,Tremors,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Chronic obstructive pulmonary disease (COPD),,,,,,RESPIRATORY,No
fungicip 200 tablet,Flow 200mg Tablet,Eselcon 200mg Tablet,Fole 200mg Tablet,Nixican 200 Tablet,Fazol 200mg Tablet,Headache,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azole derivatives {Imidazoles},ANTI INFECTIVES,No
febuset 40 tablet,Febzeal 40 Tablet,Febutax 40 Tablet,Febuday 40 Tablet,Furitas 40mg Tablet,Feboxa 40 Tablet,Diarrhea,Headache,Increased liver enzymes,Nausea,Skin rash,Gout flares,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,,,,,Thiazole Derivative,PAIN ANALGESICS,No
finabald 1mg tablet,Growvita 1 Tablet,Fintross 1mg Tablet,Fincover 1mg Tablet,Finacet 1mg Tablet,Fine 1 Tablet,Decreased libido,Erectile dysfunction,Ejaculation disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hair loss,,,,,Androgen Derivative,UROLOGY,No
febrex plus af oral drops,Flucold AF Oral Drops,Rinojel Oral Drops,Jaldos 2mg/ml/5mg/ml Oral Drops,Rexotril Oral Drops,Nozitis Oral Drops,Vomiting,Headache,Restlessness,Anxiety,Dizziness,Tremors,Pale skin,High blood pressure,Seizure,Cerebral hemorrhage,Palpitations,Paresthesia (tingling or pricking sensation),Abdominal pain,Allergic reaction,Decreased appetite,Blurred vision,Dry nose,Dry throat,Excitement,Rash,,,,,,,,,,,,,,Treatment of Common cold,,,,,,RESPIRATORY,No
fabiflu tablet,Favilow 200mg Tablet,Fluguard Tablet,Araflu 200mg Tablet,Cipvir 200mg Tablet,Favitis 200mg Tablet,Increased uric acid level in blood,Diarrhea,Decreased white blood cell count (neutrophils),Increased liver enzymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Coronavirus disease (COVID-19),,,,,Pyrazinecarboxamide derivative,ANTI INFECTIVES,No
frext 50 tablet,Psyvoxin 50 Tablet,Flu Ocd 50mg Tablet,Ocivox 50 Tablet,Fluvo Star 50 Tablet,Manofluvo 50mg Tablet,Delayed ejaculation,Drowsiness,Erectile dysfunction,Low sexual desire,Nausea,Vomiting,Dryness in mouth,Fatigue,Increased sweating,Indigestion,Insomnia (difficulty in sleeping),Loss of appetite,Nervousness,Tremors,,,,,,,,,,,,,,,,,,,, Depression, Obsessive-compulsive disorder,,,,Aralkylketone Derivative,NEURO CNS,No
flutrol 250 inhaler,Combiwave SF 25 mcg/250 mcg Inhaler,Salflute 250 Inhaler,Flutidin S 25mcg/250mcg Inhaler,Ludoflu-S 250 CFC-Free Inhaler,Seretide 250 Evohaler,Headache,Cough,Upper respiratory tract infection,Nasopharyngitis (inflammation of the throat and nasal passages),Sinus inflammation,Stomach discomfort,Fungal infection of oropharynx,Tremors,Palpitations,Voice change,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,RESPIRATORY,No
formonide forte respicap,,,,,,Headache,Nausea,Vomiting,Stomach discomfort,Dizziness,Cough,Nasopharyngitis (inflammation of the throat and nasal passages),Upper respiratory tract infection,Sinus inflammation,Fungal infection of oropharynx,Tremors,Palpitations,Voice change,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,RESPIRATORY,No
for-ic capsule,Comfora Capsule,Pentossan 100 Capsule,Cystopen Capsule,Comfora Capsule,Pentossan 100 Capsule,Hair loss,Diarrhea,Nausea,Headache,Abdominal pain,Dizziness,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,, Interstitial cystitis,,,,,O-glycosyl compounds,BLOOD RELATED,No
formonide 1mg respules 2ml,Spiroform B 1 Respules 2ml,Foracort 1mg Respules 2ml,Budamate Neb 1mg Respules (2ml Each),Nebzmart FB 1mg Smartules 2ml,Budamate Neb 1mg Respules (2ml Each),Headache,Nausea,Vomiting,Stomach discomfort,Dizziness,Cough,Nasopharyngitis (inflammation of the throat and nasal passages),Upper respiratory tract infection,Sinus inflammation,Fungal infection of oropharynx,Tremors,Palpitations,Voice change,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,RESPIRATORY,No
fudic bnf cream,Fexit B Cream,Fusidil B Cream,Fuson B Cream,Fusee-B Cream,Fusigen-DP Cream,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Skin infections,,,,,,DERMA,No
fiasp 100iu/ml solution for injection,Fiasp 100IU/ml Penfill,Fiasp FlexTouch,,,,Hypoglycemia (low blood glucose level),Auto-antibody formation,Headache,Nasopharyngitis (inflammation of the throat and nasal passages),Upper respiratory tract infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Diabetes,,,,,Insulin analogue,ANTI DIABETIC,No
fusigen-dp cream,Fusidil B Cream,Fuson B Cream,Fusee-B Cream,Betapic-G Cream,Dipsid B Cream,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Skin infections,,,,,,DERMA,No
funzi-it 200 capsule,Candirap 200 Capsule,Sporaz 200 Capsule,Canditz 200 Capsule,Canditral 200 Capsule,Syntran 200 Capsule,Nausea,Common cold,Cough,Blurred vision,Menstrual disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azoles {Triazoles},OPHTHAL,No
flumet 150mg tablet,Odicon 150 Tablet,Fluzol 150mg Tablet,Fungicip 150mg Tablet,Fluka 150 Tablet,Fungiset 150mg Tablet,Headache,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azole derivatives {Imidazoles},ANTI INFECTIVES,No
fexofen 120 tablet,Lcfex Tablet,Etofex 120mg Tablet,Nexofex 120mg Tablet,Histafree 120 Tablet,Hhfexo 120mg Tablet,Headache,Drowsiness,Dizziness,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,Treatment of Allergic conditions,,,,Diphenylmethane Derivative,RESPIRATORY,No
fluner 5 tablet,Vasorin 5mg Tablet,Flugraine 5mg Tablet,Narzine 5mg Tablet,Grain 5mg Tablet,Fluzine 5mg Tablet,Sleepiness,Weight gain,Muscle pain,Fatigue,Constipation,Nausea,Insomnia (difficulty in sleeping),Runny nose,Increased appetite,Depression,Stomach discomfort,Breast pain,,,,,,,,,,,,,,,,,,,,,,Prevention of Migraine,,,,,Diphenylmethanes Derivative,NEURO CNS,No
febrinil m syrup,Spasmonil Forte Syrup,Meftus P Syrup,,,,Nausea,Vomiting,Diarrhea,Indigestion,Loss of appetite,Heartburn,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,Treatment of Fever,,,,,PAIN ANALGESICS,No
fourderm cream,,,,,,Itching,Thinning of skin,Burning sensation at the site of application,Irritation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Skin infections,,,,,,DERMA,No
fasigyn ds 1000mg tablet,Enidazol 1000 Tablet,Tini DS 1000mg Tablet,Tricolam 1000mg Tablet,Zil 1000mg Tablet,Tinibid DS 1000mg Tablet,Headache,Dryness in mouth,Nausea,Metallic taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Bacterial infections, Parasitic infections,,,,Nitroimidazole,GASTRO INTESTINAL,No
flucos 200 tablet,Flow 200mg Tablet,Fole 200mg Tablet,Nixican 200 Tablet,Fazol 200mg Tablet,Fungicip 200 Tablet,Headache,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azole derivatives {Imidazoles},ANTI INFECTIVES,No
flonida 1% cream,Fluo Cream,,,,,Nausea,Vomiting,Hair loss,Diarrhea,Bronchospasm,Infection,Myelosuppression,Agranulocytosis (deficiency of granulocytes in the blood),General discomfort,Itching,Skin exfoliation,Anemia (low number of red blood cells),Febrile neutropenia,Angina (heart related chest pain),ECG changes,Decreased immunity,,,,,,,,,,,,,,,,,, Actinic keratosis,,,,,Pyrimidine Analog,ANTI NEOPLASTICS,No
fludot 0.5mg injection,,,,,,Anxiety,Insomnia (difficulty in sleeping),Allergic reaction,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Benzodiazepine overdose,,,,,Imidazobenzodiazepine Derivative,OTHERS,No
fluticort f 250 capsule,Airwin F2 250 Capsule,Flutidin F 6mcg/250mcg Divicap,Pulmofor F 250 Axacap,Formicort-FT Capsule,Unipuff FF 6mcg/250mcg Capsule,Headache,Cough,Upper respiratory tract infection,Nasopharyngitis (inflammation of the throat and nasal passages),Sinus inflammation,Stomach discomfort,Fungal infection of oropharynx,Tremors,Palpitations,Voice change,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,RESPIRATORY,No
fever-x tablet,Dolo 500 Tablet,T-98 Tablet,Calpol 500mg Tablet,Pacimol 500 Tablet,Parazex 500mg Tablet,Stomach pain,Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,Treatment of Fever,,,,P-Aminophenol Derivative,PAIN ANALGESICS,No
fosfona powder,UT Sure 3gm Powder,Fludafos 3gm Powder Vanilla,Fosvaith Sachet,Fosfolife Sachet,Fosforex Powder,Headache,Dizziness,Vaginal inflammation,Indigestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Bacterial infections of urinary tract,,,,,Organic phosphonic acids,ANTI INFECTIVES,No
febrinil 650mg tablet,Pyrakem 650mg Tablet,Calpol 650 + Tablet,Paracip 650 Tablet,PUC 650 Tablet,Micromol F Tablet,Stomach pain,Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,Treatment of Fever,,,,P-Aminophenol Derivative,PAIN ANALGESICS,No
febuxor 40 tablet,Febzeal 40 Tablet,Febutax 40 Tablet,Febuday 40 Tablet,Furitas 40mg Tablet,Feboxa 40 Tablet,Diarrhea,Headache,Increased liver enzymes,Nausea,Skin rash,Gout flares,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,,,,,Thiazole Derivative,PAIN ANALGESICS,No
fusiderm ointment,Stafoban Ointment,Futop Ointment,Fusikab 2% Ointment,Fusiper Ointment,Fucinex Ointment,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial skin infections, Bacterial eye infections,,,,Steroid esters,DERMA,No
fexova 120 tablet,Lcfex Tablet,Etofex 120mg Tablet,Nexofex 120mg Tablet,Fexise 120mg Tablet,Histafree 120 Tablet,Headache,Drowsiness,Dizziness,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,Treatment of Allergic conditions,,,,Diphenylmethane Derivative,RESPIRATORY,No
fcn 200mg tablet,Flow 200mg Tablet,Eselcon 200mg Tablet,Fole 200mg Tablet,Nixican 200 Tablet,Fazol 200mg Tablet,Headache,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azole derivatives {Imidazoles},ANTI INFECTIVES,No
finecef 200mg tablet dt,C Pod 200mg Tablet DT,Xpod 200 DT Tablet,Cefopen 200mg Tablet DT,Sporacef 200mg Tablet DT,Elpicef 200mg Tablet DT,Rash,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Broad Spectrum (Third & fourth generation cephalosporins),ANTI INFECTIVES,No
fusee ointment,Stafoban Ointment,Futop Ointment,Fusikab 2% Ointment,Fusiper Ointment,Fucinex Ointment,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial skin infections, Bacterial eye infections,,,,Steroid esters,DERMA,No
fubox 40 tablet,Febzeal 40 Tablet,Febutax 40 Tablet,Febuday 40 Tablet,Feboxa 40 Tablet,Febuset 40 Tablet,Diarrhea,Headache,Increased liver enzymes,Nausea,Skin rash,Gout flares,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,,,,,Thiazole Derivative,PAIN ANALGESICS,No
forair 250 cfc free inhaler,Combiwave SF 25 mcg/250 mcg Inhaler,Salflute 250 Inhaler,Flutidin S 25mcg/250mcg Inhaler,Ludoflu-S 250 CFC-Free Inhaler,Seretide 250 Evohaler,Headache,Cough,Upper respiratory tract infection,Nasopharyngitis (inflammation of the throat and nasal passages),Sinus inflammation,Stomach discomfort,Fungal infection of oropharynx,Tremors,Palpitations,Voice change,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,RESPIRATORY,No
fzhh tablet,Odicon 150 Tablet,Fluzol 150mg Tablet,Fungicip 150mg Tablet,Fluka 150 Tablet,Fungiset 150mg Tablet,Headache,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azole derivatives {Imidazoles},ANTI INFECTIVES,No
fusys dt tablet,Flucot 50mg Tablet DT,Faze 50mg Tablet DT,Funnie 50mg Tablet DT,Trucand 50mg Tablet DT,AF 50 Tablet DT,Headache,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azole derivatives {Imidazoles},ANTI INFECTIVES,No
fxr 10 tablet,Obiholic 10mg Tablet,Obstela 10 Tablet,Filoca 10mg Tablet,Obitocip 10 Tablet,Obetohep 10mg Tablet,Itching,Fatigue,Abdominal pain,Rash,Throat pain,Dizziness,Constipation,Joint pain,Eczema,Thyroid disorders,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Primary biliary cirrhosis,,,,,,GASTRO INTESTINAL,No
feliz-s 20 tablet,Citaford S 20mg Tablet,S Citadep 20 Tablet,Joycom 20mg Tablet,Escigress 20mg Tablet,Censpram 20 Tablet,Anorgasmia (decreased orgasm) in women,Decreased libido,Delayed ejaculation,Fatigue,Increased sweating,Insomnia (difficulty in sleeping),Nausea,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Depression,Treatment of Anxiety disorder,Treatment of Panic disorder,,,Phenylbutylamine Derivative,NEURO CNS,No
fenixa 180 tablet,Lcfex 180 Tablet,Fexofen 180mg Tablet,Histafree 180 Tablet,Fexokro 180 Tablet,Histakem 180mg Tablet,Headache,Drowsiness,Dizziness,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,Treatment of Allergic conditions,,,,Diphenylmethane Derivative,RESPIRATORY,No
fml neo liquifilm,,,,,,"Application site reactions (burning, irritation, itching and redness)",Blurred vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial eye infections,,,,,,OPHTHAL OTOLOGICALS,No
flucos 400mg tablet,Fazol 400mg Tablet,AF 400 Tablet,Flucus 400mg Tablet,Fluzil 400mg Tablet,Faze 400mg Tablet,Headache,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azole derivatives {Imidazoles},ANTI INFECTIVES,No
forair 250 respicap,Fluticure 50 mcg/250 mcg Respicap,Peakhale SF 50 mcg/250 mcg Respicap,,,,Headache,Cough,Upper respiratory tract infection,Nasopharyngitis (inflammation of the throat and nasal passages),Sinus inflammation,Stomach discomfort,Fungal infection of oropharynx,Tremors,Palpitations,Voice change,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,RESPIRATORY,No
flucort forte lotion,Flusil 0.025% Lotion,,,,,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Skin conditions with inflammation & itching,,,,,Glucocorticoids,DERMA,No
fegus vaginal capsule,Cosfen Vaginal Capsule,Fenticad Vaginal Capsule,Cosfen Vaginal Capsule,Fentozac 600mg Vaginal Capsule,Tinilact FZ Softgel Capsule,Erythema (skin redness),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Fungal infections of vagina,,,,,Imidazole derivatives,DERMA,No
flecarite 100 tablet,,,,,,Heart failure,Ventricular arrhythmia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Arrhythmia,,,,,Trifluoroethoxy benzamide derivatives,CARDIAC,No
formosone 250 respicap,,,,,,Headache,Cough,Upper respiratory tract infection,Nasopharyngitis (inflammation of the throat and nasal passages),Sinus inflammation,Stomach discomfort,Fungal infection of oropharynx,Tremors,Palpitations,Voice change,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,RESPIRATORY,No
fbt 40 tablet,Febzeal 40 Tablet,Febutax 40 Tablet,Febuday 40 Tablet,Feboxa 40 Tablet,Febuset 40 Tablet,Diarrhea,Headache,Increased liver enzymes,Nausea,Skin rash,Gout flares,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,,,,,Thiazole Derivative,PAIN ANALGESICS,No
ft-mac cream,Fsol Cream,Fusicare Cream,Ufisid Cream,Fucidin Cream,Fugina 2% Cream,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial skin infections, Bacterial eye infections,,,,Steroid esters,DERMA,No
fungdid b cream,Czson B Cream,Simbiotic-B Cream,Defungin Cream,Monila Plus Cream,Moncid B Cream,Paresthesia (tingling or pricking sensation),Burning sensation,Dry skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal skin infections,,,,,,DERMA,No
fortibile 150 tablet,Ursomax 150 Tablet,Ursocad 150 Tablet,Udigold 150 Tablet,Urdiogem 150 Tablet,Sorbidiol 150 Tablet,Abdominal pain,Diarrhea,Hair loss,Itching,Nausea,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Primary biliary cirrhosis,Treatment of Gallbladder stones,,,,Bile Acids and Salts,GASTRO INTESTINAL,No
fungikem 200 capsule,Candirap 200 Capsule,Sporaz 200 Capsule,Canditz 200 Capsule,Canditral 200 Capsule,Syntran 200 Capsule,Nausea,Common cold,Cough,Blurred vision,Menstrual disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azoles {Triazoles},OPHTHAL,No
fludac 60 capsule,Flutine 60mg Capsule,Flutrac 60mg Capsule,Depnuf 60mg Capsule,Vetodep 60mg Capsule,Etotric 60mg Capsule,Erectile dysfunction,Indigestion,Influenza like syndrome,Loss of appetite,Depression,Low sexual desire,Nausea,Sore throat,Sweating,Tremors,Weakness,Yawning,Abnormal dreams,Delayed ejaculation,Dryness in mouth,Insomnia (difficulty in sleeping),Nervousness,Sleepiness,Sinus infection,,,,,,,,,,,,,,,Treatment of Depression,Treatment of Panic disorder,Treatment of Obsessive-compulsive disorder,,,Trifluoromethylbenzenes Derivative,NEURO CNS,No
formosone 250 cfc free inhaler,Fullhale 6 mcg/250 mcg Inhaler,Combisure 6 mcg/250 mcg Inhaler,Winkast F Inhaler,Flozone 6mcg/250mcg Inhaler,Flutidin F 6mcg/250mcg Inhaler,Headache,Cough,Upper respiratory tract infection,Nasopharyngitis (inflammation of the throat and nasal passages),Sinus inflammation,Stomach discomfort,Fungal infection of oropharynx,Tremors,Palpitations,Voice change,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,RESPIRATORY,No
flutivate 0.005% ointment,Fluticare Ointment,Fluskin 0.005% Ointment,Fusone 0.005% Ointment,,,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Severe allergic reactions,Treatment of Skin conditions with inflammation & itching,,,,Glucocorticoids,RESPIRATORY,No
facer sera tablet,Ibugesic ASP Tablet,Acemiz-S Tablet,Moviz 3D Tablet,Dolokind AA Tablet,Anaflam Xps  Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,PAIN ANALGESICS,No
fusibest cream,Fsol Cream,Fusicare Cream,Sudif Cream,Ufisid Cream,Fucidin Cream,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial skin infections, Bacterial eye infections,,,,Steroid esters,DERMA,No
febumac 80 tablet,Febuset 80 Tablet,Feboxa 80 Tablet,Fubox 80 Tablet,Fbx 80 Tablet,Febubest 80 Tablet,Diarrhea,Headache,Increased liver enzymes,Nausea,Skin rash,Gout flares,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,,,,,Thiazole Derivative,PAIN ANALGESICS,No
finehart tablet,Redustat Plus 10mg/200mg Tablet,Vestan F 10mg/200mg Tablet,Lipidex Plus 10mg/200mg Tablet,Lorilip 10mg/200mg Tablet,Magastin F 10mg/200mg Tablet,Nausea,Stomach pain,Constipation,Flatulence,Headache,Muscle pain,Increased liver enzymes,Increased glucose level in blood,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of High cholesterol,Prevention of Heart attack,,,,,CARDIAC,No
fungeeheal 200 capsule,Candirap 200 Capsule,Sporaz 200 Capsule,Canditz 200 Capsule,Canditral 200 Capsule,Syntran 200 Capsule,Nausea,Common cold,Cough,Blurred vision,Menstrual disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azoles {Triazoles},OPHTHAL,No
formoflo 125 transhaler,,,,,,Headache,Cough,Upper respiratory tract infection,Nasopharyngitis (inflammation of the throat and nasal passages),Sinus inflammation,Stomach discomfort,Fungal infection of oropharynx,Tremors,Palpitations,Voice change,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,RESPIRATORY,No
flumet 200mg tablet,Flow 200mg Tablet,Eselcon 200mg Tablet,Fole 200mg Tablet,Nixican 200 Tablet,Fazol 200mg Tablet,Headache,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azole derivatives {Imidazoles},ANTI INFECTIVES,No
flutee 40mg capsule,Prodep 40 Capsule,Flux 40mg Capsule,Defutin 40mg Capsule,Noc 40mg Capsule,Depnuf 40mg Capsule,Erectile dysfunction,Indigestion,Influenza like syndrome,Loss of appetite,Depression,Low sexual desire,Nausea,Sore throat,Sweating,Tremors,Weakness,Yawning,Abnormal dreams,Delayed ejaculation,Dryness in mouth,Insomnia (difficulty in sleeping),Nervousness,Sleepiness,Sinus infection,,,,,,,,,,,,,,,Treatment of Depression,Treatment of Panic disorder,Treatment of Obsessive-compulsive disorder,,,Trifluoromethylbenzenes Derivative,NEURO CNS,No
flohale 2mg respules 2ml,,,,,,Upper respiratory tract infection,Sinus infection,Throat irritation,Bronchitis (inflammation of the airways),Voice change,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Severe allergic reactions,Treatment of Skin conditions with inflammation & itching,,,,Glucocorticoids,RESPIRATORY,No
fondum 2.5mg injection,Arixtra 2.5mg Injection,Fondakem 2.5mg Injection,Fondazest 2.5 Injection,Fondastar 2.5mg Injection,Fondaflo 2.5 Injection,Bleeding,Anemia (low number of red blood cells),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Deep vein thrombosis, Pulmonary embolism,,,,Synthetic Glucopyranoside,CARDIAC,No
fomtide 200 octacap,Quikhale FB 200 Powder for Inhalation,Airforu FB 200 DPI Capsule,Drbudef 6/200 Capsule,Vent FB 6 mcg/200 mcg Capsule,Zivahale FB 6mcg/200mcg Capsule,Headache,Nausea,Vomiting,Stomach discomfort,Dizziness,Cough,Nasopharyngitis (inflammation of the throat and nasal passages),Upper respiratory tract infection,Sinus inflammation,Fungal infection of oropharynx,Tremors,Palpitations,Voice change,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,RESPIRATORY,No
flexbumin 20% infusion,Buminate 20% Infusion,Cealb 20% Infusion,Alba 20% Infusion,Buminate Infusion,Verbumin Infusion,Vomiting,"Flushing (sense of warmth in the face, ears, neck and trunk)",Fever,Nausea,Chills,Hives,Slow heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,, Short term fluid replacement after trauma,,,,,"Amino Acids, Peptides, and Analogues",BLOOD RELATED,No
folisurge 150 injection,Stimufol P 150IU Injection,Fshsp 150IU Injection,Nugon 150IU Injection,Gonotrop F 150IU Injection,Xyartz HP FSH  150IU Injection,Injection site allergic reaction,Headache,Acne,Swelling of breast in male,Abdominal pain,Gastrointestinal discomfort,Ovarian cysts,Rash,,,,,,,,,,,,,,,,,,,,,,,,,, Female infertility, Male hypogonadism,,,,Gonadotropins,GYNAECOLOGICAL,No
flublock nasal spray,Zivacort F 27.5mcg Nasal Spray,Sinospray-FT Nasal Spray,Spiroflut Nasal Spray,Spiroflut Nasal Spray,Ryno Nasal Spray,Nasal inflammation,Headache,Nosebleeds,Nasal ulceration,Breathlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,Glucocorticoids,RESPIRATORY,No
