medicamento_en,medicamento_principal,sustituto1_en,sustituto2_en,sustituto3_en,sustituto4_en,sustituto5_en,sustituto1_es,sustituto2_es,sustituto3_es,sustituto4_es,sustituto5_es
forcutril plus cream,forcutril mas crema,ofcent-tc cream,kazvate ot cream,camfloxm plus cream,itromed-oc cream,clozest s cream,crema de tcccent-tc,kazvate ot cream,camfloxm mas crema,crema itromed-oc,crema de sclozest s
fritolev 750 tablet,tableta fritolev 750,levepsy 750 tablet,seiz-free 750mg tablet,verocet 750mg tablet,emlevo 750 tablet,levipil 750 tablet,levepsy 750 tableta,tableta de 750 mg sin verse,verocet 750mg tableta,tableta emlevo 750,levipil 750 tableta
flucos itz dusting powder,flucos itz polvo de polvo,davaindia itraconazole 1% dusting powder,itom 1% dusting powder,itralco 1% dusting powder,itzfor 1% dusting powder,itsbest dusting powder,davaindia itraconazol 1% polvo de polvo,itom 1% polvo de polvo,itralco 1% polvo de polvo,itzfor 1% de polvo de polvo,itsbest polvo de polvo
fapvir tablet,tableta fapvir,favilow 200mg tablet,fluguard tablet,araflu 200mg tablet,cipvir 200mg tablet,favitis 200mg tablet,tableta favilow 200mg,tableta de fluguard,araflu 200mg tableta,tableta cipvir 200mg,favitis 200mg tableta
floxiwave 60 capsule,capsula floxiwave 60,flutine 60mg capsule,flutrac 60mg capsule,depnuf 60mg capsule,vetodep 60mg capsule,etotric 60mg capsule,capsula de 60 mg,capsula de 60 mg,capsula de 60 mg de depnuf,vetodep 60mg capsula,capsula etotica de 60 mg
fimanta 120 tablet,fimanta 120 tableta,fimagen 120 tablet,,,,,fimagen 120 tableta,,,,
fatrova ft 160mg/10mg tablet,fatrova ft 160mg/10mg tableta,normalip f 10 tablet,rosucrest-f tablet,rosubest f tablet,lipigo f 10 tablet,rosurica-f tablet,normalip f 10 tableta,tableta rosucrest-f,tableta f rosubest f,lipigo f 10 tableta,tableta rosurica-f
flucalup 50mg tablet,tableta flucalup 50mg,q can 50mg tablet,onecan 50mg tablet,fungard 50mg tablet,zomav 50mg tablet,flucat 50mg tablet,q can 50mg tableta,onecan 50mg tableta,tableta de 50mg de fungard,zomav 50mg tableta,tableta flucat 50mg
folimost gel,gel folimos,,,,,,,,,,
gabapin nt tablet,tableta gabapin nt,gabanyt 400mg/10mg tablet,gabathica nt 400mg/10mg tablet,mylamin gn tablet,dutam plus tablet,arobaba nt 400mg/10mg tablet,gabanyt 400mg/10mg tableta,gabathica nt 400mg/10mg tableta,tableta mylamin gn,tableta dutam plus,arobaba nt 400mg/10mg tableta
gudcef 200 tablet,tableta gudcef 200,zipod 200mg tablet,spectratil 200mg tablet,brotacef 200mg tablet,oxipod 200mg tablet,monocef-o 200 tablet,tableta zipod 200mg,spectratil 200mg tableta,tableta brotacef 200mg,oxipod 200mg tableta,monocef-o 200 tableta
glycomet 500 sr tablet,tableta glycomet 500 sr,bigomet sr 500 tablet,scodia sr 500 tablet,metsmall 500 tablet sr,mefomin 500 sr tablet,obimet sr tablet,bigomet sr 500 tablet,tableta scodia sr 500,metsmall 500 tablet sr,mefumin 500 sr tablet,obimet sr tableta
glycomet-gp 1 tablet pr,glycompet-gp 1 tableta pr,glimestar-m 1 tablet pr,metride 1 tablet pr,diapride m1 tablet pr,geminor m 1 tablet pr,glimser 1 tablet pr,glimestar-m 1 tableta pr,metride 1 tableta pr,diapride m1 tableta pr,geminor m 1 tableta pr,vislante 1 tableta pr
grilinctus-bm syrup,jarabe de grilintus-bm,bronq t syrup,edvent t syrup,leecough bm syrup,vintee bm syrup,collintus-bm syrup,jarabe bronq t,jarabe de edvent t,jarabe de leecough bm,jarabe de vintee bm,jarabe de colintus-bm
gudcef-cv 200 tablet,tableta gudcef-cv 200,cefoprox cv 325 tablet,zipod cv 200mg/125mg tablet,cefoclav tablet,microcef-cv 200 tablet,kefpod cv 200 tablet,cefoprox cv 325 tableta,zipod cv 200mg/125mg tableta,tableta cefoclav,microcef-cv 200 tableta,tableta kefpod cv 200
gabapin nt 100 tablet,gabapin nt 100 tableta,gabyne n 100mg/10mg tablet,gabapax nt 100 tablet,pentanerv-nt 100mg/10mg tablet,trugaba-nt 100 tablet,ornagab nt 100mg/10mg tablet,gabyne n 100mg/10mg tableta,tableta gabapax nt 100,pentanerv-nt 100mg/10mg tableta,trugaba-nt 100 tableta,ornagab nt 100mg/10mg tableta
glycomet-gp 2 tablet pr,glycompet-gp 2 tableta pr,glimed-mf 2/500 er tablet,glimiprex mf 2/500 tablet pr,euglim-m 2 tablet pr,glimestar-m 2 tablet pr,metride 2 tablet pr,vislante-mf 2/500 er tablet,glimiprex mf 2/500 tableta pr,euglim-m 2 tableta pr,glimestar-m 2 tableta pr,metride 2 tableta pr
gabapin 100 tablet,tableta gabapin 100,gabagesic 100mg tablet,gabalent 100 tablet,jotter 100mg tablet,gabazac 100mg tablet,gabagal 100mg tablet,tableta de 100 mg de gabagesic,gabalent 100 tableta,tableta jotter 100mg,tableta gabazac 100mg,tableta gabagal 100mg
glyciphage sr 500mg tablet,gliciphage sr 500mg tableta,bigomet sr 500 tablet,scodia sr 500 tablet,metsmall 500 tablet sr,mefomin 500 sr tablet,obimet sr tablet,bigomet sr 500 tablet,tableta scodia sr 500,metsmall 500 tablet sr,mefumin 500 sr tablet,obimet sr tableta
ganaton tablet,tableta ganaton,re tride 50mg tablet,itoz 50mg tablet,itoflux 50mg tablet,discom 50mg tablet,zeto 50mg tablet,re tride 50mg tableta,tableta itoz 50mg,itoflux 50mg tableta,discom 50 mg de tableta,tableta zeto 50mg
galvus met 50mg/500mg tablet,galvus se reunio con 50 mg/500 mg de tableta,bluglip m 500mg/50mg tablet,glitame-m 500mg/50mg tablet,xilda-m 500mg/50mg tablet,viltrack m 500mg/50mg tablet,vidaansh 50/500 tablet,bluglip m 500mg/50mg tableta,glitame-m 500mg/50mg tableta,xilda-m 500mg/50mg tableta,viltrack m 500mg/50mg tableta,vidaansh 50/500 tableta
glynase-mf tablet,tableta de glynase-mf,bionase mf 5 mg/500 mg tablet,glipin mf tablet,dibizide-m tablet,diacon m 5 mg/500 mg tablet,dibizide m 5mg/500mg tablet,bionasa mf 5 mg/500 mg de tableta,tableta de glipin mf,tableta dibizide-m,diacon m 5 mg/500 mg tableta,dibizide m 5mg/500mg tableta
grenil tablet,tableta grenil,d febrol 20mg/500mg tablet,onmol 20mg/500mg tablet,nograin 20mg/500mg tablet,domrose plus 20mg/500mg tablet,jasdom-p 20mg/500mg tablet,d febrol 20mg/500mg tableta,onmol 20mg/500mg tableta,nograin 20mg/500mg tableta,domrose mas 20 mg/500 mg de tableta,jasdom-p 20mg/500mg tableta
ganaton total capsule sr,ganaton capsula total sr,pantagon it  40 mg/150 mg capsule sr,pantafol-it capsule sr,itopan 40 mg/150 mg capsule sr,sulflux it 40mg/150mg capsule sr,pantogel-it capsule sr,patagon it 40 mg/150 mg capsula sr,capsula pantafol-it sr,itopan 40 mg/150 mg capsula sr,sulflux it 40 mg/150 mg capsula sr,capsula de pantogel-it sr
glycomet tablet,tableta de glycompet,biciphage 500 tablet,okamet 500 tablet,etformin 500mg tablet,bigomet 500 tablet,glycirite 500mg tablet,biphage 500 tableta,tableta okamet 500,tableta etformin 500mg,bigomet 500 tableta,tableta de 500 mg de glicirita
glycomet trio 2 tablet sr,glycompet trio 2 tablet sr,ozomet-vg2 tablet sr,glimex mv 2mg/500mg/0.2mg tablet sr,glimric-mv2 tablet sr,starvog gm 2 tablet sr,voglibite-gm 2 tablet sr,tableta ozomet-vg2 sr,glimex mv 2mg/500mg/0.2mg tableta sr,tableta glimric-mv2 sr,starvog gm 2 tableta sr,voglibite-gm 2 tableta sr
grilinctus-l oral suspension,grilintus-l suspension oral,zerotuss oral suspension,kofdip oral suspension mango,coff-tuss oral suspension mango,zerotuss oral suspension sugar free,lecofil lc oral suspension delicious mango,suspension oral zerotuss,kofdip mango de suspension oral,mango de suspension oral de coff-compats,cerotuss suspension oral azucar sin,lecofil lc suspension oral delicious mango
grilinctus-ls syrup,jarabe grilintus-ls,bronkolyte levo syrup,solvin ls syrup,ambrodil-lx syrup,zerotuss xp syrup,ambrovin ls syrup,bronkolyte levo jarabe,solvin ls jarabe,jarabe de ambrodil-lx,jarabe de zerotuss xp,ambrovin ls jarabe
glimestar-m 1 tablet pr,glimestar-m 1 tableta pr,metride 1 tablet pr,diapride m1 tablet pr,glycomet-gp 1 tablet pr,geminor m 1 tablet pr,glimser 1 tablet pr,metride 1 tableta pr,diapride m1 tableta pr,glycompet-gp 1 tableta pr,geminor m 1 tableta pr,vislante 1 tableta pr
gabaneuron nt tablet,tableta gabaneuron nt,nervotin nt 300mg/10mg tablet,gabort n 300mg/10mg tablet,oligab nt 300mg/10mg tablet,krisgaba nt 300mg/10mg tablet,strumedin-p tablet,nervotin nt 300mg/10mg tableta,gabort n 300mg/10mg tableta,oligab nt 300mg/10mg tableta,krisgaba nt 300mg/10mg tableta,tableta strumedin-p
glycomet-gp 0.5 tablet sr,glycomet-gp 0.5 tableta sr,davapride mf 0.5mg/500mg tablet sr,gemprime m 0.5mg/500mg tablet sr,glimkar-m 0.5 tablet sr,glimith-mf 0.5 sr tablet,wonride m 0.5 tablet sr,davapride mf 0.5mg/500 mg de tableta sr,gemprime m 0.5mg/500 mg de tableta sr,glimkar-m 0.5 tableta sr,glimith-mf 0.5 sr tableta,wonride m 0.5 tableta sr
genteal eye drop,gote gentil,at plus artificial tears,artificial tears bp eye drop,lacryl eye drop,cmph eye drop,procel 0.3% eye drop,en plus lagrimas artificiales,lagrimas artificiales bp gota de ojos,gota de ojos de lacryl,cmph eye drop,procel 0.3% gota para los ojos
glycomet 1gm tablet sr,glycomet 1gm tablet sr,medfor 1000mg tablet sr,metsmall 1000 tablet sr,bigomet -sr 1000 tablet,walaphage -sr 1000 tablet,gluconorm sr 1gm tablet,medfor 1000mg tableta sr,metsmall 1000 tableta sr,bigomet -sr 1000 tableta,walaphage -sr 1000 tableta,gluconorm sr 1gm tableta
glycomet-gp 2 forte tablet sr,glycomet-gp 2 forte tablet sr,glimed mf 2mg/1000mg tablet sr,glimed-mf 2/1000 sr tablet,endoformin g forte 2mg/1000mg tablet sr,glimfirst-m2 forte tablet sr,glimfirst-m2 forte 2mg/1000mg tablet sr,sr sr sra mf 2mg/1000mg sr,vislante-mf 2/1000 sr tableta,endoformina g forte 2mg/1000mg tableta sr,glimfirst-m2 forte tablet sr,glimfirst-m2 forte 2mg/1000mg tablet sr
glykind-m tablet,tableta glykind-m,zyde mf 80mg/500mg tablet,glytas-mf tablet,cyblex m 80 tablet,glycigon-m tablet,nuzide m tablet,zyde mf 80mg/500mg tableta,tableta glytas-mf,cyblex m 80 tableta,tableta glucigon-m,tableta nuzide m
glizid-m tablet,tableta glizid-m,zyde mf 80mg/500mg tablet,glytas-mf tablet,glykind-m tablet,cyblex m 80 tablet,glycigon-m tablet,zyde mf 80mg/500mg tableta,tableta glytas-mf,tableta glykind-m,cyblex m 80 tableta,tableta glucigon-m
gudlax-plus laxative peppermint sugar free,gudlax-plus laxativo de menta sin azucar sin azucar,avolax oral suspension,evacmore oral suspension,volact oral suspension,pecul plus oral suspension,picomax oral suspension,suspension oral de avolax,suspension oral de evacmore,suspension oral volatica,pecul mas suspension oral,suspension oral de picomax
gabapin 300 capsule,capsula gabapin 300,gabatix 300 capsule,gabanyl 300 capsule,gabacap 300mg capsule,gabatin 300 capsule,gabacip 300mg capsule,capsula gabatix 300,capsula de gabanilo 300,capsula de 300 mg de gabacap,capsula gabatin 300,capsula de 300 mg de gabacip
gb 29 total tablet,gb 29 tableta total,pregabanyl ntm tablet,md calm 75mg/10mg/1500mcg tablet,regnor-mnt tablet,torner nt 75mg/10mg/1500mcg tablet,pruxa nm 75mg/10mg/1500mcg tablet,tableta pregabanilica ntm,md calm 75mg/10mg/1500mcg tableta,tableta regnor-mnt,torner nt 75mg/10mg/1500mcg tableta,pruxa nm 75mg/10mg/1500mcg tableta
gabaneuron tablet,tableta gabaneuron,gabanyl 300mg/500mcg tablet,novonerve-g tablet,miol g 300 mg/500 mcg tablet,gbm tablet,mecofort g tablet,tableta gabanyl 300mg/500mcg,tableta novonerve-g,miol g 300 mg/500 mcg tableta,tableta gbm,mecofort g tableta
grisovin-fp tablet,tableta grisovin-fp,grisomed 250mg tablet,fungivin 250mg tablet,grisactin forte 250mg tablet,griseoderm 250mg tablet,geovin 250mg tablet,tableta de 250 mg de grisomed,fungivin 250mg tableta,grisactina forte 250 mg de tableta,griseoderm 250mg tableta,tableta geovin 250mg
gerbisa tablet,tableta de gerbisa,laxidyl tablet,swilax 5mg tablet,bo lax 5mg tablet,lax 5mg tablet,dulax 5mg tablet,tableta laxidil,tableta swilax 5mg,tableta bo lax 5mg,tableta de 5 mg laxa,tableta dulax 5mg
gudcef plus tablet,tableta gudcef plus,microcef-o tablet,zipod o 200 mg/200 mg tablet,cepodem-o tablet,kefpod o 200 mg/200 mg tablet,olfi pod tablet,microcef-o tableta,zipod o 200 mg/200 mg de tableta,tableta de cepodem-o,kefpod o 200 mg/200 mg de tableta,tableta olfi pod
gluconorm-g 1 tablet pr,gluconorm-g 1 tableta pr,glimestar-m 1 tablet pr,metride 1 tablet pr,diapride m1 tablet pr,glycomet-gp 1 tablet pr,geminor m 1 tablet pr,glimestar-m 1 tableta pr,metride 1 tableta pr,diapride m1 tableta pr,glycompet-gp 1 tableta pr,geminor m 1 tableta pr
gluconorm g2 tablet pr,gluconorm g2 tableta pr,glimed-mf 2/500 er tablet,glimiprex mf 2/500 tablet pr,euglim-m 2 tablet pr,glimestar-m 2 tablet pr,metride 2 tablet pr,vislante-mf 2/500 er tablet,glimiprex mf 2/500 tableta pr,euglim-m 2 tableta pr,glimestar-m 2 tableta pr,metride 2 tableta pr
gluconorm sr 500mg tablet,gluconorm sr 500mg tableta,bigomet sr 500 tablet,scodia sr 500 tablet,metsmall 500 tablet sr,mefomin 500 sr tablet,obimet sr tablet,bigomet sr 500 tablet,tableta scodia sr 500,metsmall 500 tablet sr,mefumin 500 sr tablet,obimet sr tableta
glyxambi 25mg/5mg tablet,glyxambi 25mg/5mg tableta,tiptengio 25mg/5mg tablet,ajaduo 25mg/5mg tablet,xilingio 25mg/5mg tablet,,,tiptengio 25mg/5mg tableta,ajaduo 25mg/5mg tableta,xilingio 25mg/5mg tableta,,
gliptagreat m 500 tablet,gliptagraat m 500 tableta,bluglip m 500mg/50mg tablet,glitame-m 500mg/50mg tablet,xilda-m 500mg/50mg tablet,viltrack m 500mg/50mg tablet,vidaansh 50/500 tablet,bluglip m 500mg/50mg tableta,glitame-m 500mg/50mg tableta,xilda-m 500mg/50mg tableta,viltrack m 500mg/50mg tableta,vidaansh 50/500 tableta
gutron 2.5mg tablet,tableta de 2.5 mg de gutron,jolavi tablet,midgeo tablet,actiful 2.5mg tablet,midotab 2.5 tablet,midrex 2.5mg tablet,tableta jolavi,midgeo tableta,tableta de 2.5 mg de 2.5mg,midotab 2.5 tableta,midrex 2.5mg tableta
glimestar-pm2 tablet er,glimestar-pm2 tableta er,ozomet-pg 2 tablet er,debistal-gm 2 tablet er,k-pio-gm tablet er,cureglim mp 2mg/500mg/15mg tablet er,tri gmnec 2 tablet er,ozomet-pg 2 tablet er,debistal-gm 2 tableta er,tableta k-pio-gm,cureglim mp 2mg/500mg/15mg tableta er,tri gmnec 2 tableta er
gtn sorbitrate cr 2.6 tablet,sorbitrate gtn cr 2.6 tableta,winitro 2.6mg tablet cr,nestin 2.6mg tablet cr,anglit 2.6 tablet cr,ntgn 2.6 tablet cr,nitrolife 2.6 tablet cr,winitro 2.6mg tableta cr,nestin 2.6mg tableta cr,anglit 2.6 tableta cr,ntgn 2.6 tableta cr,nitrolife 2.6 tableta cr
gibtulio 25mg tablet,tableta gibtulio 25mg,jardiance 25mg tablet,oboravo 25mg tablet,glifaz 25mg tablet,cospiaq 25mg tablet,,jardiance 25mg tableta,oboravo 25mg tableta,tableta glifaz 25mg,cospiaq 25mg tableta,
gardasil vaccine,vacuna gardasil,,,,,,,,,,
galvus 50mg tablet,tableta galvus 50mg,gliptagreat 50 tablet,vildanat tablet,vilatin tablet,viltor 50 tablet,vinsorin tablet,gliptagraat 50 tableta,tableta vildanat,tableta de vilatina,viltor 50 tableta,tableta de vinsorin
gabantin-nt tablet,tableta gabantin-nt,gabanyt 400mg/10mg tablet,gabathica nt 400mg/10mg tablet,mylamin gn tablet,dutam plus tablet,arobaba nt 400mg/10mg tablet,gabanyt 400mg/10mg tableta,gabathica nt 400mg/10mg tableta,tableta mylamin gn,tableta dutam plus,arobaba nt 400mg/10mg tableta
glimestar-m 2 tablet pr,glimestar-m 2 tableta pr,glimed-mf 2/500 er tablet,glimiprex mf 2/500 tablet pr,euglim-m 2 tablet pr,metride 2 tablet pr,geminor m 2 tablet pr,vislante-mf 2/500 er tablet,glimiprex mf 2/500 tableta pr,euglim-m 2 tableta pr,metride 2 tableta pr,geminor m 2 tableta pr
glucored forte tablet,tableta de forte glucored,glibamide m 5mg/500mg tablet,dibeta gb 5 mg/500 mg tablet,bencomet fort 5mg/500mg tablet,glimsug 5mg/500mg tablet,metamid 5mg/500mg tablet,glibamida m 5mg/500mg tableta,dibeta gb 5 mg/500 mg de tableta,bencomet fort 5mg/500mg tableta,glimsug 5mg/500mg tableta,metamid 5mg/500mg tableta
goutnil 0.5mg tablet,pableta goutnil 0.5mg,colochicine 0.5mg tablet,colchicindon 0.5mg tablet,coljoy 0.5mg tablet,zycolchin tablet,colchiget tablet,"colocicina 0,5 mg de tableta",colchicindon 0.5mg tableta,tableta de 0.5mg de coljoy,tableta zycolchin,tableta de colchiget
gabantin 100 capsule,capsula de gabantin 100,gabanine 100mg capsule,gabacap 100mg capsule,gabax 100mg capsule,gabatin 100 capsule,neuropin 100 capsule,capsula de 100 mg de gabanina,capsula de 100 mg de gabacap,capsula de 100 mg de gabax,capsula de gabatin 100,neuropina 100 capsula
gemer 0.5 tablet pr,gemer 0.5 tableta pr,diapride m 0.5mg/500mg tablet pr,hmet-g 0.5 tablet pr,zoryl m 0.5 tablet pr,glimy m 0.5 tablet pr,gluformin g 0.5 tablet pr,diapride m 0.5mg/500 mg de tableta pr,hmet-g 0.5 pablet pr,zoryl m 0.5 tableta pr,brillante m 0.5 tableta pr,glufina g 0.5 tableta pr
glucobay 50 tablet,glucobay 50 tableta,disorb 50mg tablet,acartex 50 tablet,k carb 50mg tablet,glutiro 50mg tablet,ac 50mg tablet,disorbio 50 mg de tableta,acartex 50 tableta,k carb 50mg tableta,glutiro 50mg tableta,ac 50 mg de tableta
gluxit 10mg tablet,tableta de 10mg de grueso,dapazol 10 tablet,switdapa 10 tablet,oxra 10mg tablet,dapacose 10 tablet,dapagear 10 tablet,tableta dapazol 10,switdapa 10 tableta,tableta oxra 10mg,dapacosa 10 tableta,dapagear 10 tableta
gemer p 2 tablet er,gemer p 2 tableta er,ozomet-pg 2 tablet er,debistal-gm 2 tablet er,k-pio-gm tablet er,cureglim mp 2mg/500mg/15mg tablet er,tri gmnec 2 tablet er,ozomet-pg 2 tablet er,debistal-gm 2 tableta er,tableta k-pio-gm,cureglim mp 2mg/500mg/15mg tableta er,tri gmnec 2 tableta er
ginette 35 tablet,ginette 35 tableta,frewil 2mg/0.035mg tablet,hersuit tablet,cypokare 2mg/0.035mg tablet,herface tablet,estranon tablet,frewil 2mg/0.035mg tableta,tableta hersuit,cypokare 2mg/0.035mg tableta,tableta de para superficie,tableta de estranon
glycomet-gp 1 forte tablet sr,glycomet-gp 1 forte tablet sr,isryl-m 1 forte tablet sr,glimcloud-m1-1000 sr tablet,glimicon-plus tablet sr,homoglim m 1mg/1000mg tablet sr,glimilife m1 forte tablet sr,isryl-m 1 forte tablet sr,glimcloud-m1-1000 sr tableta,glimicon-plus tableta sr,homoglim m 1mg/1000mg tableta sr,glimilife m1 forte tableta sr
gabamax gold capsule,capsula de oro de gabamax,neurofast capsule,neuromed pg forte capsule,nuroxyca forte  capsule,pgl-m 75  capsule,nervlex capsule,capsula de neurofast,capsula de forte de pg neuromed,capsula de foroxyca forte,capsula pgl-m 75,capsula nerviosa
glynase tablet,tableta de glynasa,glylup 5mg tablet,diacon 5mg tablet,glibetic 5mg tablet,glucotrol 5mg tablet,glipitis 5mg tablet,glylup 5mg tableta,tableta de diacon 5 mg,tableta glibetica 5mg,glucotrol 5mg tableta,glipitis 5mg tableta
gynaset tablet,tableta gynasset,prevent n 5mg tablet,sysron-n tablet,primolut-n tablet,martinor tablet,regestrone 5mg tablet,evitar la tableta de n 5 mg,tableta sysron-n,tableta primolut-n,tableta de martinor,regestrone 5mg tableta
glycomet trio 1 tablet sr,glycomet trio 1 tablet sr,ziglim-mv 1 tablet sr,voglibite-gm 1 tablet sr,glyciphage-vg1 tablet sr,amaryl mv 1mg tablet sr,trimegavog 1 tablet sr,ziglim-mv 1 tableta sr,voglibite-gm 1 tableta sr,tableta glyciphage-vg1 sr,amaryl mv 1mg tableta sr,trimegavog 1 tableta sr
gabapin me tablet,pableta gabapin me,gabanyl 300mg/500mcg tablet,novonerve-g tablet,miol g 300 mg/500 mcg tablet,gbm tablet,mecofort g tablet,tableta gabanyl 300mg/500mcg,tableta novonerve-g,miol g 300 mg/500 mcg tableta,tableta gbm,mecofort g tableta
genteal gel,gel gentil,eyemist gel,ara eye gel,,,,gel eyemist,gel de ojo ara,,,
glyxambi 10mg/5mg tablet,glyxambi 10mg/5mg tableta,tiptengio 10mg/5mg tablet,ajaduo 10mg/5mg tablet,xilingio 10mg/5mg tablet,,,tiptengio 10mg/5mg tableta,ajaduo 10mg/5mg tableta,xilingio 10mg/5mg tableta,,
gemer ds 2 tablet pr,gemer ds 2 tableta pr,glimiprex mf forte 2 tablet pr,glimestar-m2 forte tablet pr,geminor m2 forte tablet pr,glimisave m2 forte tablet pr,glimisave max forte 2 tablet pr,glimiprex mf forte 2 tableta pr,glimestar-m2 forte tableta pr,geminor m2 forte tableta pr,glimisave m2 forte tableta pr,glimisave max forte 2 pablet pr
gluconorm g2 forte tablet pr,gluconorm g2 forte tableta pr,glimiprex mf forte 2 tablet pr,glimestar-m2 forte tablet pr,geminor m2 forte tablet pr,glimisave m2 forte tablet pr,glimisave max forte 2 tablet pr,glimiprex mf forte 2 tableta pr,glimestar-m2 forte tableta pr,geminor m2 forte tableta pr,glimisave m2 forte tableta pr,glimisave max forte 2 pablet pr
galvus met 50mg/1000mg tablet,galvus se reunio con 50 mg/1000mg tableta,encelin m 50/1000 tablet,vildamac m 50/1000 tablet,vilshine m 1000mg/50mg tablet,vilmax-m 1000 tablet,viltrack m forte 1000mg/50mg tablet,encelin m 50/1000 tableta,vildamac m 50/1000 tableta,vilshine m 1000mg/50mg tableta,vilmax-m 1000 tableta,viltrack m forte 1000mg/50 mg de tableta
gudcef-cv dry syrup,gudcef-cv jarabe seco,cefdron cv dry syrup,greatcef-cv oral suspension,podoxil-c dry syrup,antipod 50 cv dry syrup,radipod-cl dry syrup,cefdron cv jarabe seco,greatcef-cv suspension oral,jarabe seco de podoxil-c,antipod 50 cv jarabe seco,jarabe seco de radipico-cl
glyciphage sr 1gm tablet,gliciphage sr 1gm tableta,medfor 1000mg tablet sr,metsmall 1000 tablet sr,bigomet -sr 1000 tablet,walaphage -sr 1000 tablet,gluconorm sr 1gm tablet,medfor 1000mg tableta sr,metsmall 1000 tableta sr,bigomet -sr 1000 tableta,walaphage -sr 1000 tableta,gluconorm sr 1gm tableta
gestofit 200mg sr tablet,gestofit 200mg sr tableta,pgton 200mg tablet sr,endogest 200 sr tablet,macgest sr 200 tablet,prolutax 200mg tablet sr,strone sr 200 tablet,pgton 200mg tableta sr,endogest 200 sr tableta,macest sr 200 tableta,pableta prolutax 200mg sr,strone sr 200 tableta
gramocef-o 200mg tablet dt,gramocef-o 200mg tableta dt,ximeceff 200 tablet dt,vibazime 200 dt tablet,safexim 200 tablet dt,omnix 200 dt tablet,extacef 200 dt tablet,ximeceff 200 tableta dt,tableta vibazime 200 dt,safexim 200 tableta dt,tableta omnix 200 dt,tableta extacef 200 dt
glimiprex mf 1/500 tablet pr,glimiprex mf 1/500 tableta pr,glimestar-m 1 tablet pr,metride 1 tablet pr,diapride m1 tablet pr,glycomet-gp 1 tablet pr,geminor m 1 tablet pr,glimestar-m 1 tableta pr,metride 1 tableta pr,diapride m1 tableta pr,glycompet-gp 1 tableta pr,geminor m 1 tableta pr
ganaton od capsule sr,ganaton od capsule sr,itcan 150mg capsule sr,itorihenz 150 capsule sr,itorax od 150mg capsule sr,,,itcan 150 mg capsula sr,iterihenz 150 capsula sr,itorax od 150mg capsula sr,,
gravitor tablet,tableta de gravor,mygris 60mg tablet,mustone  60mg tablet,distinon tablet,pyrido 60mg tablet,pyristig 60mg tablet,mygris 60mg tableta,muart 60 mg de tableta,tableta distinon,phyrido 60mg tableta,pyristig 60mg tableta
gabamax nt tablet,tableta gabamax nt,prabin nt 75mg/10mg tablet,neurica nt tablet,nervite tablet,nervilax nt 75mg/10mg tablet,pregalin nt 75mg/10mg tablet,prabin nt 75mg/10mg tableta,tableta neurica nt,tableta nerviosa,nervilax nt 75mg/10mg tableta,pregalin nt 75mg/10mg tableta
gp 1 tablet,gp 1 tableta,isryl 1 tablet,ziglim 1 tablet,euglim 1 tablet,glimestar 1 tablet,zoryl 1 tablet,isryl 1 tableta,ziglim 1 tableta,euglim 1 tableta,glimestar 1 tableta,zoryl 1 tableta
glucozone  tablet,tableta de glucozone,dincerin plus tablet,ostovit dm  tablet,g-cerin tablet,kneejoint care tablet,cartimost-gm tablet,tableta dincerin plus,tableta ostovit dm,tableta g-cerin,tableta de cuidado de la rodilla,tableta de cartimost-gm
gabantin plus tablet,gabantin plus tablet,nurokind-g  100 new tablet,doloneuron 100 tablet,gabaneuron 100 tablet,gabaciz m 100mg/500mcg tablet,gabaneuron 100 tablet,nurokind-g 100 nueva tableta,doloneuron 100 tableta,tableta gabaneuron 100,gabaciz m 100mg/500mcg tableta,tableta gabaneuron 100
glycomet 250 tablet,glycompet 250 tableta,glycirite 250mg tablet,d met 250mg tablet,diafer 250mg tablet,bigomet 250 tablet,genericart metformin hydrochloride 250mg tablet,tableta de 250 mg de glicirita,d conocio a 250 mg de tableta,diafer de 250 mg de tableta,bigomet 250 tableta,tableta de clorhidrato de metformina de genericart 250 mg
glycomet trio 2/0.3 tablet sr,glycomet trio 2/0.3 tableta sr,vogliboz-gm3 tablet sr,vogs-gm 2/0.3 tablet sr,voglinorm gm 2/0.3 tablet sr,diapride m2 hv 2mg/500mg/0.3mg tablet sr,t-vobit vx2 tablet sr,vogliboz-gm3 tablet sr,vogs-gm 2/0.3 tableta sr,voglinorm gm 2/0.3 tableta sr,diapride m2 hv 2mg/500mg/0.3 mg de tableta sr,t-vobit vx2 tablet sr
glimisave mv 3.3 tablet sr,glimisave mv 3.3 tableta sr,voglicon gm 3mg/500mg/0.3mg tablet sr,glimisil mv 3mg/500mg/0.3mg tablet sr,voglow 0.3 gm3 tablet sr,synoglim mv 3.3 tablet sr,voglow 0.3 gm3 tablet sr,voglicon gm 3mg/500mg/0.3mg tablet sr,glimisil mv 3mg/500mg/0.3mg tablet sr,voglow 0.3 gm3 tablet sr,synoglim mv 3.3 tableta sr,voglow 0.3 gm3 tablet sr
gestofit 300mg sr tablet,gestofit 300mg sr tableta,endogest 300 sr tablet,miprogen 300mg tablet sr,seacure sr 300 tablet,proceive sr 300 tablet,strone sr 300 tablet,endogest 300 sr tableta,miprogen 300 mg de tableta sr,marea sr 300 tableta,pableta peceive sr 300,strone sr 300 tableta
